日期,二林,豐原,沙鹿,忠明,彰化,埔里,西屯,大里,南投,竹山,線西,龍潭,觀音,板橋,大同,三重,富貴角,大園,基隆,林口,平鎮,淡水,土城,萬里,中壢,菜寮,士林,古亭,陽明,萬華,桃園,松山,新莊,汐止,永和,新店,中山,三義,湖口,頭份,新竹,竹東,苗栗,冬山,宜蘭,關山,臺東,花蓮,恆春,左營,林園,潮州,屏東,大寮,小港,鳳山,橋頭,楠梓,美濃,前鎮,仁武,復興,前金,安南,臺西,新港,新營,麥寮,朴子,嘉義,臺南,崙背,斗六,善化
2022-01-01,21.48,12.54,16.82,17.42,18.71,17.56,17.24,20.4,21.42,23.92,18.37,12.87,14.71,12.89,16.38,15.69,12.34,13.19,12.75,11.4,15.93,12.4,13.54,12.02,16.05,13.4,11.39,13.32,5.8,13.11,15.45,13.07,14.33,12.24,13.96,10.82,13.36,12.79,14.87,15.38,15.95,13.43,16.66,9.2,9.47,5.95,6.69,7.42,3.84,32.3,36.51,33.59,29.59,33.06,29.9,35.64,34.59,27.0,23.08,31.4,33.15,31.92,32.78,24.87,16.03,24.59,25.98,19.29,22.63,29.55,27.92,20.06,27.99,27.02
2022-01-08,21.87,17.12,18.01,20.54,20.05,20.21,19.22,22.02,27.68,30.45,19.57,16.79,19.71,16.41,18.79,19.18,17.44,16.91,16.85,16.31,20.1,16.38,16.51,16.91,19.67,16.24,14.39,17.2,10.48,16.47,18.45,16.87,18.13,16.22,17.14,14.41,17.11,15.56,18.09,17.65,19.8,16.16,18.1,14.27,14.97,10.13,9.1,10.57,9.71,31.98,37.25,35.43,33.2,35.23,30.65,36.39,35.35,29.8,29.7,31.29,34.9,31.15,32.45,26.37,20.06,26.92,28.5,23.05,24.93,32.29,29.21,23.03,32.87,30.09
2022-01-15,15.8,13.24,14.21,16.81,16.15,17.38,14.18,17.98,20.28,25.16,14.27,9.2,11.81,9.62,13.9,12.92,11.0,10.36,10.04,9.29,11.38,8.75,10.05,9.51,11.39,11.24,8.33,9.88,4.45,10.44,11.2,9.68,10.96,8.37,10.9,7.42,10.23,10.46,11.19,10.97,12.01,8.81,12.47,7.13,7.95,5.89,5.58,6.82,4.53,30.54,37.21,37.77,32.5,35.26,32.48,36.27,34.7,27.2,25.18,33.02,34.31,32.6,32.16,23.94,16.65,21.45,23.36,15.99,19.17,27.04,27.42,17.31,25.02,25.69
2022-01-22,20.78,14.04,15.22,17.27,17.48,16.82,16.21,19.28,20.66,24.9,16.59,11.36,10.96,9.68,12.79,13.92,10.06,10.18,8.79,6.66,12.07,8.73,11.21,7.77,13.25,11.06,7.71,9.51,3.52,10.33,12.26,9.32,10.81,8.33,11.92,8.64,9.97,9.02,12.52,14.23,14.47,11.8,14.76,5.61,6.49,4.41,4.19,5.52,5.71,34.11,42.73,39.97,37.0,43.25,38.18,41.92,40.05,33.29,27.74,36.95,38.2,37.89,35.73,26.24,16.19,23.77,27.42,18.85,24.87,32.18,31.75,20.06,26.58,28.52
2022-01-29,9.83,8.44,8.69,11.45,10.11,14.03,9.91,11.69,13.54,16.3,9.16,7.29,6.62,5.82,8.16,9.13,8.34,5.9,6.68,3.92,8.64,5.72,5.77,8.56,7.08,7.33,4.33,6.19,3.42,6.54,7.62,5.93,6.54,4.87,7.9,5.99,6.01,5.24,7.04,8.54,8.46,7.84,8.7,5.06,6.82,7.46,5.84,7.83,5.36,19.9,21.38,22.39,20.69,23.85,21.49,24.61,20.49,17.35,16.33,20.23,20.25,20.67,22.01,15.77,9.8,13.46,14.74,11.5,15.01,16.14,18.4,10.48,15.54,15.67
2022-02-05,14.74,11.89,11.43,14.52,13.79,16.29,13.47,13.96,17.06,20.89,12.91,10.4,9.41,9.99,13.4,12.44,10.48,8.29,8.82,7.9,11.28,8.28,8.31,8.7,10.45,11.19,7.32,10.16,3.48,10.58,11.85,8.39,11.25,8.19,12.39,8.23,9.64,7.3,9.33,9.5,10.8,10.31,10.4,4.76,5.93,5.18,4.69,6.49,5.07,27.68,29.11,29.41,28.89,31.81,28.43,32.32,30.83,24.86,22.2,28.4,29.62,28.27,29.75,21.65,12.66,20.51,22.18,14.46,19.81,23.8,24.02,16.94,22.29,23.28
2022-02-12,19.22,12.48,13.43,14.12,15.96,18.57,14.62,16.31,19.76,25.03,15.69,10.41,12.68,10.07,13.73,14.17,12.56,10.37,10.3,8.79,13.14,9.12,9.46,12.1,12.6,12.33,9.69,10.94,3.84,10.46,12.4,10.74,11.37,10.58,12.86,10.33,11.23,9.31,11.72,11.99,12.76,9.96,13.33,5.97,7.01,6.11,6.48,7.99,7.45,35.44,35.96,34.95,33.11,38.63,36.22,40.93,36.7,32.27,27.87,37.11,37.87,37.06,38.02,27.62,15.82,23.22,26.03,17.45,23.18,27.04,30.54,19.84,25.62,29.29
2022-02-19,8.51,6.02,6.58,4.94,8.93,8.8,6.87,7.39,9.6,12.45,8.52,5.83,9.4,6.44,11.29,9.0,8.9,5.84,6.6,4.66,8.33,5.43,4.14,8.24,6.86,8.38,4.54,6.92,3.1,6.21,7.14,6.95,7.67,6.16,7.81,6.28,6.89,3.8,6.37,6.0,7.88,4.89,6.25,3.55,5.0,4.21,3.81,5.52,4.51,20.63,24.63,26.85,21.6,25.15,22.91,26.67,20.6,18.11,14.57,21.93,22.6,21.92,22.98,14.39,6.39,12.22,13.57,7.92,13.13,15.04,16.63,9.27,12.85,15.25
2022-02-26,45.78,24.07,32.42,27.06,35.45,20.39,32.19,32.57,27.98,32.36,36.7,24.6,29.94,23.01,25.25,24.85,20.06,29.86,20.91,21.49,28.6,19.88,21.73,18.14,29.27,24.04,19.78,21.54,12.18,20.85,27.97,21.77,24.85,21.13,22.58,20.13,22.24,20.51,27.34,28.66,28.33,23.67,28.78,16.03,16.95,9.17,8.52,14.16,7.94,37.58,30.5,25.31,29.68,34.56,33.37,36.68,36.1,32.39,22.92,33.48,36.01,32.54,29.68,37.26,29.79,46.53,41.2,33.19,40.68,44.11,39.28,40.57,44.66,37.49
2022-03-05,26.16,17.22,18.8,16.28,21.05,14.8,19.35,18.99,18.5,21.78,22.05,13.48,19.56,14.2,16.73,15.93,13.53,17.06,13.71,12.46,17.99,14.61,13.11,12.02,18.07,16.1,12.74,13.5,8.87,13.08,18.19,14.27,15.38,12.5,14.92,12.07,13.91,13.9,17.04,17.46,17.79,17.17,15.97,9.23,12.14,7.93,9.07,11.04,9.62,24.33,20.17,18.82,21.54,23.76,23.25,26.94,25.13,21.19,16.84,23.24,25.49,23.38,17.92,24.03,19.12,26.03,23.36,21.39,25.3,24.59,21.12,23.74,24.03,22.6
