日期,竹山,線西,沙鹿,埔里,西屯,大里,忠明,南投,豐原,二林,彰化,中山,古亭,淡水,士林,桃園,菜寮,基隆,陽明,龍潭,大園,中壢,萬華,新莊,松山,三重,大同,觀音,萬里,土城,新店,永和,汐止,板橋,平鎮,林口,竹東,湖口,苗栗,新竹,三義,頭份,宜蘭,冬山,臺東,關山,花蓮,屏東,前鎮,橋頭,仁武,鳳山,小港,恆春,左營,潮州,美濃,林園,前金,復興,大寮,楠梓,新港,臺西,崙背,麥寮,嘉義,新營,朴子,安南,臺南,斗六,善化
2015-01-01,52.4,35.46,28.81,39.99,34.92,38.14,35.33,40.59,26.19,43.44,35.1,25.62,27.89,19.69,23.36,28.29,26.95,25.09,16.58,28.43,28.18,26.14,25.1,28.57,23.53,22.6,22.99,27.78,22.54,31.05,27.44,24.89,25.62,27.25,27.4,28.78,25.94,25.96,31.1,30.47,26.78,29.09,24.25,24.13,16.1,17.11,15.55,45.83,41.96,49.27,45.84,44.47,48.82,16.37,49.45,44.56,39.84,46.43,44.96,52.05,47.41,48.0,41.72,39.17,47.14,41.21,44.68,45.9,39.14,42.75,42.82,47.12,48.79
2015-02-01,51.43,35.94,26.58,47.83,33.42,36.14,34.74,40.7,24.37,39.24,32.2,23.95,25.67,18.72,22.33,26.82,27.18,22.5,14.31,26.98,25.54,24.95,24.09,27.38,21.58,20.16,21.58,23.06,19.75,30.33,27.21,25.58,23.27,25.78,25.54,28.4,27.23,24.63,30.62,30.77,24.32,29.76,24.48,19.4,14.44,14.88,11.5,45.31,40.96,44.68,43.3,41.86,48.22,16.55,45.45,44.86,36.7,46.04,42.3,49.15,45.98,42.0,39.09,35.7,44.38,37.76,46.72,39.78,36.81,35.56,39.1,46.43,45.26
2015-03-01,48.16,31.54,24.93,50.12,28.18,32.65,30.92,39.22,23.81,35.08,26.39,21.6,22.26,14.97,18.83,23.03,24.04,19.13,11.39,22.71,21.79,19.42,20.9,26.77,18.49,18.11,19.78,20.43,18.32,28.3,23.14,21.65,22.96,23.33,23.66,24.94,24.34,18.63,27.82,27.57,21.47,24.54,19.82,17.14,8.24,8.34,6.48,35.55,34.07,39.77,36.83,36.93,37.14,10.07,36.92,34.61,29.06,33.66,35.44,40.19,35.56,32.47,31.23,30.23,37.79,36.59,37.15,32.59,30.68,28.72,30.3,41.24,37.86
2015-04-01,30.15,23.43,18.89,30.69,21.74,23.41,23.13,23.86,22.85,25.87,20.25,22.62,23.52,16.0,19.97,23.27,20.62,20.16,14.08,22.49,23.26,19.73,21.07,27.19,20.71,19.14,20.59,21.08,20.56,27.0,22.97,21.83,22.01,23.31,23.4,25.44,21.5,15.57,24.13,23.99,20.96,20.38,15.16,15.74,9.01,8.94,5.05,21.54,17.16,19.92,21.69,23.14,23.94,9.9,25.0,23.8,17.64,24.12,22.37,21.98,25.61,20.01,21.96,22.78,28.01,27.83,24.87,21.46,21.38,20.86,20.02,26.15,24.62
2015-05-01,17.7,20.41,15.19,18.79,19.03,21.3,18.64,16.95,17.86,21.29,19.06,20.09,20.59,13.64,16.9,20.21,14.37,18.35,11.44,17.75,20.63,18.06,18.05,23.79,19.66,17.46,18.99,18.5,20.66,26.04,19.21,19.68,18.91,20.62,21.08,20.43,15.48,13.31,18.52,19.14,16.64,15.79,10.5,14.33,8.63,8.02,8.75,12.82,8.75,9.78,13.15,12.55,14.45,7.16,14.62,15.01,11.56,12.98,13.2,12.1,16.63,10.23,16.52,18.29,22.26,20.24,17.96,16.02,17.07,14.79,13.1,18.26,16.28
2015-06-01,11.84,11.09,7.88,17.37,13.18,16.51,12.85,10.51,13.92,17.52,12.83,16.55,15.4,8.92,14.54,16.2,8.48,17.62,12.22,14.44,14.77,14.33,15.67,17.24,16.64,13.6,16.04,12.62,22.18,20.87,17.38,17.58,16.19,16.52,14.64,13.11,9.16,7.81,11.53,13.02,12.06,6.53,11.04,15.05,7.67,8.98,10.72,8.79,2.89,5.39,7.77,7.06,9.0,4.44,9.54,11.23,9.22,8.41,9.27,7.9,11.25,5.67,11.12,9.62,15.79,6.01,10.7,9.41,10.03,8.21,6.74,13.27,9.13
2015-07-01,12.63,16.08,12.63,19.67,16.77,19.79,17.43,13.23,19.19,19.0,16.34,17.03,12.1,10.64,16.33,19.23,9.9,16.52,13.44,18.35,18.27,17.12,15.46,17.42,15.68,14.32,15.14,15.76,16.3,18.67,15.32,15.48,15.12,14.99,17.88,15.72,11.59,11.47,15.07,18.47,19.88,10.91,10.93,17.16,8.49,9.0,12.77,11.45,8.85,8.95,10.99,11.19,13.16,6.62,14.09,12.83,11.43,13.95,11.37,14.54,15.29,6.95,13.4,15.14,20.68,11.27,15.13,13.09,12.35,12.38,11.54,16.32,13.29
2015-08-01,12.02,13.01,12.1,14.33,16.05,16.82,15.38,11.39,15.55,17.46,16.32,12.33,8.26,6.93,13.44,15.34,7.01,11.04,9.01,15.77,14.51,12.65,13.18,9.77,12.24,9.74,11.36,12.95,14.82,13.89,11.18,11.94,14.11,13.33,13.7,11.45,7.32,4.18,14.68,14.45,13.78,10.08,7.09,14.33,7.53,6.95,10.43,11.79,9.05,6.79,10.51,10.87,13.2,8.01,13.5,13.78,11.47,12.63,11.37,12.3,15.51,6.94,13.14,10.29,16.16,8.76,15.12,11.9,10.55,11.75,11.22,9.55,12.53
2015-09-01,26.52,20.74,18.85,31.03,22.91,26.33,24.02,23.59,21.15,23.55,23.07,16.17,11.04,11.91,16.89,17.8,10.33,14.8,11.47,19.87,18.43,15.57,16.75,17.09,15.21,12.1,14.84,16.95,11.98,18.91,16.7,15.63,14.24,17.43,18.19,17.12,15.25,11.41,21.81,22.66,21.83,19.77,9.3,17.24,9.45,9.09,14.71,20.72,14.23,14.35,19.4,17.81,21.49,9.54,19.25,19.35,20.54,21.0,18.65,19.15,25.2,15.99,21.28,23.96,31.22,18.68,18.94,22.76,21.71,21.72,20.36,24.28,24.01
2015-10-01,35.64,26.77,22.98,37.15,30.41,36.44,30.91,31.64,29.29,29.17,28.88,16.33,13.3,13.29,17.41,19.56,15.62,17.33,10.96,20.82,21.31,17.2,18.43,22.61,17.12,13.72,15.67,19.43,17.4,21.45,17.5,15.49,13.95,19.01,20.84,20.94,20.73,15.33,24.55,24.47,26.62,26.08,10.05,17.28,10.43,10.09,14.56,28.62,20.38,23.69,31.03,28.64,30.81,12.11,30.52,25.69,26.84,29.91,29.11,29.24,30.35,23.5,27.15,28.65,36.12,25.83,27.94,27.65,27.21,29.75,28.06,33.57,32.74
