日期,竹山,線西,沙鹿,埔里,西屯,大里,忠明,南投,豐原,二林,彰化,中山,古亭,淡水,士林,富貴角,桃園,菜寮,基隆,陽明,龍潭,大園,中壢,萬華,新莊,松山,三重,大同,觀音,萬里,土城,新店,永和,汐止,板橋,平鎮,林口,竹東,湖口,苗栗,新竹,三義,頭份,宜蘭,冬山,臺東,關山,花蓮,屏東,前鎮,橋頭,仁武,鳳山,小港,恆春,左營,潮州,美濃,林園,前金,復興,大寮,楠梓,新港,臺西,崙背,麥寮,嘉義,新營,朴子,安南,臺南,斗六,善化
2020-01-01,26.48,21.26,21.55,20.34,23.53,24.06,25.09,24.76,20.89,25.12,22.08,16.5,14.54,14.66,14.67,15.19,18.68,16.78,15.04,7.32,18.52,19.39,19.48,15.92,18.07,16.94,20.54,18.99,18.37,14.55,15.29,13.13,15.48,15.8,16.85,18.64,15.72,17.19,19.05,21.48,18.81,17.22,20.56,10.46,11.03,7.1,7.67,9.34,25.53,27.67,28.85,29.26,27.89,28.3,8.32,28.25,28.2,23.19,30.14,28.65,29.38,31.52,28.64,26.57,22.03,25.25,22.6,28.67,26.69,22.28,28.28,28.52,29.26,27.33
2020-02-01,27.95,22.59,21.93,23.53,23.42,23.97,24.07,25.55,20.46,25.9,21.86,16.36,14.05,14.37,14.57,15.37,19.09,16.55,14.56,7.69,18.04,20.21,19.79,15.0,18.19,17.32,20.93,19.11,18.69,14.53,16.21,13.36,15.0,15.09,17.74,18.98,16.04,16.39,19.41,18.57,18.28,16.13,18.99,10.93,11.98,8.04,8.48,9.28,25.66,25.08,27.37,28.59,24.9,26.29,8.25,26.15,27.59,22.65,29.01,27.9,27.48,30.26,26.2,28.61,24.57,26.8,25.81,29.3,26.43,25.27,28.94,28.27,29.87,27.65
2020-03-01,29.0,21.08,21.34,25.17,21.99,23.41,22.79,25.77,21.78,24.45,20.21,17.66,15.84,13.97,15.47,14.69,19.24,17.62,15.15,9.19,18.75,18.72,19.78,16.62,18.38,18.17,22.29,20.04,16.68,15.26,17.42,14.97,16.39,16.09,17.37,18.49,17.74,18.2,18.08,18.93,18.61,18.85,19.99,11.74,13.41,8.1,9.67,10.38,24.89,23.61,27.13,27.97,23.07,24.8,9.64,25.04,23.46,21.87,25.96,25.86,25.6,28.89,25.26,25.88,21.97,25.15,22.68,27.91,24.59,24.26,26.17,24.17,28.28,25.64
2020-04-01,27.21,19.53,20.11,21.59,20.74,21.63,21.22,23.38,19.64,23.39,18.97,16.76,15.18,14.04,14.83,15.57,17.55,16.75,15.06,11.52,16.61,17.63,17.6,16.57,17.4,17.87,21.09,19.45,16.65,15.07,16.09,14.81,14.98,15.9,16.42,16.95,16.67,17.34,17.28,17.53,17.38,16.63,18.42,11.77,12.91,7.79,10.12,10.83,23.5,23.25,26.74,27.69,22.99,24.58,11.66,24.27,24.67,22.18,26.48,24.98,24.93,28.54,25.53,22.73,21.78,23.57,22.95,25.21,22.44,22.62,24.73,22.47,25.82,24.5
2020-05-01,12.53,11.75,12.59,11.79,11.91,12.96,12.35,11.42,11.31,12.27,10.59,13.58,13.01,10.94,12.28,9.93,15.8,13.85,11.71,9.59,13.06,12.38,13.17,13.56,14.44,14.22,18.06,16.52,11.76,11.51,13.48,11.55,13.02,13.34,13.22,13.4,13.28,13.01,12.43,11.63,12.2,10.9,12.78,8.83,10.22,4.83,7.29,7.88,10.35,8.68,10.25,11.69,7.94,10.4,7.09,8.81,9.91,10.44,10.01,9.94,11.29,12.13,11.05,11.04,12.6,11.6,12.01,10.09,11.31,10.77,12.23,10.89,12.88,10.64
2020-06-01,6.51,6.25,6.38,8.07,6.73,8.66,7.48,6.95,6.19,8.43,4.57,9.27,10.41,8.62,9.89,8.2,9.69,10.57,10.46,7.87,7.98,7.21,8.65,9.65,10.43,11.23,14.67,12.21,5.9,10.36,9.47,9.62,9.8,11.95,9.05,8.41,8.24,8.77,6.92,6.3,7.63,6.98,7.72,8.52,9.6,4.41,7.08,6.49,5.83,3.04,5.07,7.05,2.92,5.6,4.4,4.07,5.82,6.35,5.8,5.08,6.01,7.84,4.8,6.58,7.42,4.8,6.22,4.21,6.08,5.06,6.69,5.7,6.29,5.7
2020-07-01,6.88,6.68,4.96,7.76,7.28,8.4,7.82,5.92,7.12,8.46,6.83,8.28,8.9,7.96,9.4,7.11,10.19,10.43,8.99,7.34,9.02,7.88,9.24,8.56,9.98,10.32,12.98,11.66,6.83,9.04,9.21,8.25,8.59,10.9,8.48,8.65,8.11,8.84,8.5,7.84,9.19,6.36,8.09,7.11,8.43,3.34,4.77,5.49,6.56,5.93,6.94,8.82,7.37,7.02,3.59,5.95,7.14,6.49,7.41,6.48,7.88,10.1,6.91,6.55,6.08,5.15,6.47,4.01,6.21,5.76,7.94,6.66,6.08,6.44
2020-08-01,9.25,10.51,7.77,9.09,10.55,12.73,11.05,10.9,8.68,9.44,10.32,8.41,8.77,8.64,8.92,6.98,10.47,10.08,8.47,5.89,10.47,9.62,11.69,8.18,10.43,8.87,12.43,10.37,9.67,7.65,8.28,8.25,8.17,8.91,9.48,10.54,9.14,9.45,11.34,9.04,12.05,9.63,10.58,7.34,7.9,7.82,5.95,8.05,8.27,10.43,9.47,11.24,10.79,10.8,6.36,8.94,9.54,8.73,11.18,9.71,10.96,12.65,9.8,9.33,9.66,8.91,9.9,9.12,8.58,8.95,9.95,9.16,9.15,7.89
2020-09-01,19.47,15.46,11.57,16.16,16.82,17.17,15.42,18.16,16.01,18.81,16.3,13.95,12.72,12.81,13.26,12.85,15.5,13.17,11.19,9.78,13.99,14.15,15.9,12.59,14.58,13.61,16.39,16.53,13.54,12.56,14.29,12.14,12.93,13.71,12.92,14.88,13.63,12.24,13.96,14.19,13.34,14.0,13.31,10.18,9.15,8.02,7.1,8.45,18.21,17.15,17.87,18.08,18.55,16.71,6.84,15.64,17.14,15.77,18.28,18.32,17.33,21.35,17.98,18.03,18.61,19.71,17.0,19.39,17.44,16.87,18.22,16.67,20.55,16.98
2020-10-01,22.35,15.44,10.79,19.37,14.89,16.48,14.0,19.04,13.53,17.32,16.1,12.26,9.79,9.92,10.04,14.33,11.07,9.99,10.4,5.41,10.06,11.92,12.87,10.38,10.92,12.07,13.83,14.43,14.76,13.98,11.35,9.98,10.97,10.35,9.6,11.27,10.71,8.11,11.65,11.86,11.1,11.5,11.74,7.94,7.93,8.82,6.6,9.3,25.72,23.89,24.83,25.26,26.14,23.69,8.02,23.01,23.85,22.36,25.01,26.44,24.18,26.83,23.74,18.85,16.47,18.97,19.9,24.26,19.54,19.06,22.51,22.23,22.44,21.3
