日期,竹山,線西,沙鹿,埔里,西屯,大里,忠明,南投,豐原,二林,彰化,中山,古亭,淡水,士林,富貴角,桃園,菜寮,基隆,陽明,龍潭,大園,中壢,萬華,新莊,松山,三重,大同,觀音,萬里,土城,新店,永和,汐止,板橋,平鎮,林口,竹東,湖口,苗栗,新竹,三義,頭份,宜蘭,冬山,臺東,關山,花蓮,屏東,前鎮,橋頭,仁武,鳳山,小港,恆春,左營,潮州,美濃,林園,前金,復興,大寮,楠梓,新港,臺西,崙背,麥寮,嘉義,新營,朴子,安南,臺南,斗六,善化
2018-01-01,35.25,22.14,17.29,22.72,19.44,16.33,19.29,27.45,16.64,23.46,20.36,12.19,10.43,10.43,9.26,16.26,12.02,11.54,11.14,5.09,13.32,12.18,11.66,11.73,10.54,11.61,10.68,13.81,18.73,12.96,12.54,11.66,12.77,16.09,14.71,13.0,11.74,16.37,12.98,18.75,14.98,17.04,15.21,11.56,8.64,9.07,9.94,9.53,37.66,42.28,38.97,36.2,38.7,40.34,8.8,38.83,40.76,28.23,32.54,40.9,42.56,39.82,42.57,25.67,20.68,27.41,21.53,31.96,28.15,23.01,29.66,30.42,26.7,29.88
2018-02-01,37.61,29.92,28.78,20.79,26.87,20.08,26.83,29.0,18.29,31.27,29.95,21.87,12.04,19.89,20.54,26.11,22.8,21.09,19.84,8.85,22.66,24.03,23.05,22.12,20.16,19.63,20.33,23.16,29.99,19.85,23.51,20.84,22.99,23.67,25.62,24.77,18.03,22.46,25.6,27.63,28.05,21.48,26.07,14.32,10.84,10.23,10.87,9.05,34.81,40.69,40.84,42.51,44.94,39.37,10.05,38.79,33.88,29.53,28.36,40.36,43.78,39.45,40.86,34.17,30.54,35.84,31.49,38.37,36.72,33.34,34.98,36.33,33.13,35.35
2018-03-01,37.94,31.01,29.18,26.91,28.84,22.11,30.09,29.26,23.2,33.23,32.35,20.04,13.64,20.16,19.11,23.0,22.54,20.66,15.62,11.37,23.69,22.01,21.24,18.47,19.43,17.49,17.22,21.44,26.29,17.41,21.17,18.23,19.67,21.53,23.1,22.31,20.29,23.42,24.88,29.34,26.67,27.0,23.03,14.66,13.77,11.84,11.53,9.61,31.89,34.59,33.06,34.62,32.56,31.56,11.28,31.42,27.58,23.47,27.87,32.63,34.58,34.93,33.63,34.67,34.64,36.5,36.38,32.44,34.35,33.37,34.46,32.73,33.51,31.16
2018-04-01,33.13,29.31,26.0,28.08,27.93,22.81,28.6,29.25,25.86,31.02,30.4,21.98,15.24,19.73,22.26,24.19,25.45,22.89,18.49,17.46,27.69,27.27,25.96,20.64,22.52,20.14,20.14,22.85,32.91,20.31,23.93,20.52,20.61,24.9,25.94,25.59,26.15,26.09,29.41,31.1,27.58,28.16,24.12,17.31,15.95,11.53,10.98,10.3,27.12,23.73,23.93,25.23,23.98,21.3,11.61,22.35,22.77,20.31,23.35,23.22,22.14,26.49,27.72,30.79,31.23,32.56,31.69,27.51,28.86,29.63,26.81,24.57,30.24,27.66
2018-05-01,19.07,16.34,15.62,21.56,18.3,15.07,17.96,19.76,18.91,20.74,19.45,22.13,16.85,16.35,20.41,18.2,21.07,21.54,17.2,15.6,20.91,18.72,17.31,20.33,19.61,20.58,19.6,20.52,15.08,20.14,22.49,22.24,19.56,21.69,21.67,18.81,20.64,20.94,18.05,21.21,16.7,19.0,15.22,13.54,17.96,10.46,8.69,7.04,16.56,8.45,12.4,14.75,14.62,11.41,9.17,13.37,15.16,12.32,14.44,13.2,12.25,18.73,12.41,19.41,16.35,19.34,18.33,18.43,18.34,17.97,15.35,15.2,18.76,16.57
2018-06-01,12.45,11.6,13.8,17.58,14.51,12.3,14.23,14.38,13.68,19.21,16.03,12.13,10.67,12.5,14.84,11.34,14.48,16.56,11.52,9.34,13.85,13.89,11.39,13.6,12.52,13.17,12.57,15.4,17.65,13.81,13.11,14.12,12.0,7.72,11.79,12.75,12.08,11.74,13.42,18.83,13.51,14.17,10.28,7.99,14.83,9.08,8.91,4.59,11.71,8.11,14.78,12.89,12.12,10.77,7.93,12.37,12.69,6.77,14.51,11.93,9.22,13.94,12.18,17.48,16.31,19.34,16.94,13.73,16.99,14.66,13.77,13.05,15.54,12.24
2018-07-01,13.43,12.19,15.17,17.79,17.0,13.93,15.46,14.63,17.58,19.84,16.16,12.66,9.04,11.42,12.15,10.53,14.22,13.95,10.14,7.93,13.11,13.31,10.3,12.04,11.34,12.16,10.34,12.76,17.3,12.23,11.59,11.66,11.49,8.21,9.45,12.18,11.17,13.94,13.05,20.23,14.21,14.89,9.96,8.45,11.57,8.13,9.31,4.06,11.63,7.64,17.15,10.9,10.11,9.27,6.62,10.76,13.61,5.13,13.39,10.63,7.61,15.25,13.76,16.04,15.6,18.75,16.56,11.61,16.5,13.78,12.03,11.57,14.88,9.77
2018-08-01,10.22,10.36,12.08,14.91,14.65,9.76,12.28,11.43,13.98,15.33,12.15,13.62,17.86,13.22,14.56,9.85,17.4,14.65,10.29,8.94,15.65,15.19,12.5,14.39,14.07,13.15,12.84,13.65,16.74,12.15,13.36,12.63,13.54,6.2,12.14,15.55,10.27,9.97,12.9,16.79,15.38,13.26,11.13,9.59,11.29,7.48,8.7,4.81,8.51,5.87,19.53,8.26,7.19,8.49,7.29,8.68,9.97,3.74,11.19,8.84,7.6,12.41,11.57,13.5,12.87,14.89,15.09,8.54,13.54,10.29,10.19,9.22,11.18,7.14
2018-09-01,18.85,20.06,16.99,18.55,20.64,13.89,19.4,15.58,17.19,22.41,20.58,14.64,15.71,14.65,14.94,16.08,17.79,12.07,11.29,9.28,18.23,17.23,13.39,14.57,13.36,13.62,12.84,14.43,17.49,13.11,14.37,12.76,13.55,7.11,13.14,17.74,9.36,12.11,17.73,23.83,20.69,18.17,18.13,8.13,8.52,5.94,7.96,5.43,17.91,14.05,21.91,15.84,16.27,15.37,9.16,16.3,18.34,11.36,18.26,18.58,14.99,19.85,21.52,21.88,18.57,23.68,22.78,17.1,21.92,17.96,17.62,17.63,18.54,15.46
2018-10-01,31.13,18.1,17.26,23.44,19.47,13.88,18.12,24.98,15.93,21.3,19.42,14.32,14.11,14.92,13.58,17.35,15.5,12.37,12.06,7.74,16.29,14.54,9.74,14.18,11.87,13.52,13.0,13.84,21.45,13.18,16.2,14.03,12.69,13.06,14.83,14.48,10.22,12.21,15.92,19.79,18.88,17.38,17.17,10.45,10.5,7.94,11.22,8.43,33.34,29.21,39.69,28.13,31.35,28.9,9.35,29.8,28.84,24.22,30.26,32.46,29.0,34.5,38.14,27.93,22.62,27.5,27.09,28.64,34.61,24.05,28.75,29.78,29.52,29.82
2018-11-01,33.59,22.1,20.63,21.76,24.18,17.91,23.53,26.92,20.59,23.79,22.13,13.11,16.09,12.32,11.72,12.46,15.05,10.08,10.32,5.94,18.09,13.65,10.23,11.48,11.17,12.3,12.25,12.75,20.21,11.98,17.87,10.86,12.04,10.4,16.31,15.66,9.91,13.99,16.87,22.12,20.68,22.09,19.48,9.41,6.7,4.49,8.58,4.32,36.5,34.33,45.98,30.74,34.75,31.51,5.81,29.8,32.83,24.08,37.79,34.78,31.41,38.67,40.22,30.87,22.15,25.98,28.82,31.51,37.64,26.64,31.07,31.35,34.86,31.58
2018-12-01,28.95,19.87,16.04,21.3,17.56,12.43,17.7,18.91,14.83,20.87,18.11,12.11,14.48,10.72,10.25,14.05,14.99,9.56,9.92,4.89,15.09,15.03,20.58,9.58,11.06,10.7,10.6,11.6,22.99,12.29,15.53,9.38,10.96,8.89,14.48,16.31,10.53,13.96,15.26,18.53,19.35,16.05,15.98,9.01,6.76,6.93,8.47,3.58,36.33,31.64,37.7,32.51,34.55,32.79,7.68,27.85,34.77,23.08,39.57,31.91,33.39,37.11,36.95,25.73,20.79,22.92,21.76,24.97,30.94,22.16,25.53,26.14,27.01,26.21
