日期,竹山,線西,沙鹿,埔里,西屯,大里,忠明,南投,豐原,二林,彰化,中山,古亭,淡水,士林,富貴角,桃園,菜寮,基隆,陽明,龍潭,大園,中壢,萬華,新莊,松山,三重,大同,觀音,萬里,土城,新店,永和,汐止,板橋,平鎮,林口,竹東,湖口,苗栗,新竹,三義,頭份,宜蘭,冬山,臺東,關山,花蓮,屏東,前鎮,橋頭,仁武,鳳山,小港,恆春,左營,潮州,美濃,林園,前金,復興,大寮,楠梓,新港,臺西,崙背,麥寮,嘉義,新營,朴子,安南,臺南,斗六,善化
2022-01-01,25.06,16.41,15.39,17.38,16.08,19.01,17.42,21.66,13.7,18.99,17.32,12.01,11.89,11.1,9.87,12.44,13.76,12.48,11.7,5.86,12.11,12.03,14.32,12.01,12.96,11.64,14.87,14.72,13.67,11.34,12.16,9.92,12.94,10.76,11.52,14.35,10.34,12.14,13.54,14.88,14.95,11.42,14.03,9.43,8.67,6.26,6.55,7.55,31.87,31.77,34.57,33.63,36.18,31.63,5.83,30.92,35.13,25.34,36.7,32.06,32.06,35.28,28.06,23.08,16.52,19.15,18.51,28.83,25.1,22.12,24.34,27.94,26.93,26.49
2022-02-01,19.27,14.01,11.97,15.06,12.77,13.78,12.28,15.78,10.65,16.18,14.25,9.55,9.48,8.12,7.56,10.36,11.27,10.93,8.77,4.3,9.65,9.53,11.05,9.3,10.47,8.99,12.15,12.89,11.39,9.58,7.91,8.62,11.14,8.26,9.33,11.83,7.45,9.34,10.17,11.14,11.48,7.26,10.54,6.73,5.51,5.65,6.03,7.52,26.55,28.12,28.29,28.8,32.01,28.11,6.01,27.5,28.86,20.68,28.67,29.31,27.89,30.74,24.27,20.51,12.61,16.87,14.38,22.85,21.51,19.99,22.07,24.58,21.17,23.11
2022-03-01,29.87,25.77,23.39,18.03,25.32,25.91,20.33,24.96,20.54,31.05,26.85,15.06,15.17,15.51,13.62,14.11,18.86,17.26,14.8,8.68,17.63,19.32,21.37,14.97,16.63,14.74,17.48,18.59,20.79,12.52,15.85,13.85,16.74,13.67,15.84,19.51,13.76,19.19,20.11,21.17,21.54,16.52,21.25,9.67,10.0,6.98,7.06,10.05,26.64,26.43,30.09,30.08,30.84,27.61,7.01,27.7,23.67,20.62,24.27,23.7,26.3,29.36,26.77,32.52,20.68,27.32,23.93,33.25,30.33,31.29,28.25,30.69,32.96,28.81
2022-04-01,22.35,19.33,16.35,16.13,17.39,17.51,14.24,19.18,14.38,19.41,19.05,15.65,15.42,14.14,14.03,12.66,16.85,17.82,15.41,11.42,13.25,16.8,18.39,15.95,17.34,15.58,18.08,18.7,17.28,14.03,16.0,15.65,18.01,15.05,15.62,15.82,14.64,13.75,17.18,15.49,16.62,13.29,14.82,9.45,11.48,8.3,7.15,9.37,19.76,20.54,22.32,22.1,24.54,21.11,6.78,20.83,19.11,18.32,18.33,19.62,20.39,22.47,19.41,23.13,14.88,19.12,15.07,23.19,21.17,21.96,19.42,21.22,24.04,20.49
2022-05-01,12.91,12.64,10.2,7.95,12.05,11.69,8.74,12.65,9.31,13.59,11.91,5.8,7.55,5.33,6.3,3.8,7.9,8.72,6.31,3.94,5.27,9.77,9.07,7.48,8.13,6.78,8.8,10.49,6.53,6.14,7.12,7.7,8.31,6.42,7.5,6.37,5.24,7.29,8.74,8.83,6.33,8.61,7.71,4.15,6.24,4.81,4.98,5.57,10.8,14.47,17.4,17.51,12.76,15.79,4.09,15.74,12.16,10.73,12.17,14.21,14.54,15.96,14.44,14.87,8.69,10.93,8.05,14.71,12.29,12.55,13.64,14.7,16.14,14.79
2022-06-01,4.5,9.52,4.14,3.56,7.45,6.81,6.49,6.32,7.14,9.39,6.8,7.5,8.01,7.57,8.26,4.43,9.62,10.53,7.36,6.01,5.36,8.55,9.14,8.35,9.96,8.82,10.57,12.53,8.01,7.42,8.09,7.79,8.93,8.14,8.39,6.17,6.5,6.47,7.46,5.29,5.89,4.97,4.23,5.57,7.71,5.78,5.22,6.17,5.35,6.89,7.61,7.02,4.67,7.52,4.17,7.58,7.22,6.19,5.45,5.95,5.34,10.66,6.52,8.15,4.66,5.0,4.16,4.67,4.72,5.74,6.53,6.63,6.66,6.69
2022-07-01,6.27,9.32,5.94,5.97,7.37,7.2,9.14,8.86,9.21,9.17,5.74,9.01,10.37,7.62,9.98,5.78,10.18,12.06,9.69,8.29,7.26,7.4,9.9,8.74,11.0,9.82,12.04,13.98,8.01,8.43,8.42,9.91,11.7,10.28,8.59,7.03,8.58,7.65,8.03,7.12,6.75,7.99,5.22,6.74,8.38,4.4,3.42,6.31,7.21,4.82,6.32,6.1,7.68,8.16,2.61,6.85,5.81,5.48,5.06,4.25,4.57,9.02,5.47,8.36,4.12,5.6,3.83,5.83,6.53,4.94,7.02,5.99,8.08,6.96
2022-08-01,6.89,10.35,7.27,5.68,9.09,8.37,9.54,8.3,9.42,10.2,8.35,8.02,9.02,8.12,9.03,6.48,11.97,11.18,7.63,6.81,9.14,8.02,11.59,7.46,11.34,7.71,11.0,13.75,9.94,7.54,7.43,6.43,10.78,7.77,8.84,10.78,9.31,8.94,10.01,9.25,9.15,9.2,6.34,5.19,4.06,3.34,2.51,5.73,9.44,6.72,7.44,8.7,9.91,8.93,2.64,7.89,7.19,6.54,6.43,7.5,6.78,10.96,7.28,9.15,5.14,7.26,5.55,5.9,8.51,8.27,9.49,8.71,8.15,8.18
2022-09-01,14.94,19.74,15.61,12.95,16.2,15.14,15.77,15.86,14.61,18.67,16.42,11.03,12.59,11.07,10.53,12.9,14.33,12.15,11.36,6.64,8.49,12.21,14.49,10.68,12.97,9.55,12.42,15.29,16.63,12.35,8.33,9.74,12.69,10.33,10.66,13.78,10.91,10.69,15.98,14.79,11.99,13.97,11.12,8.78,6.57,8.47,6.62,11.49,16.33,16.46,17.89,19.99,19.68,18.57,9.7,17.89,15.64,14.79,15.99,19.22,18.21,19.35,16.48,19.09,14.28,17.95,15.75,15.33,16.63,17.03,18.39,18.92,17.48,16.91
2022-10-01,15.02,13.85,11.14,13.44,12.69,11.61,11.72,14.57,11.61,14.77,12.81,7.72,9.6,7.18,6.6,11.08,11.05,8.34,8.67,2.78,5.53,10.48,11.32,8.43,8.23,6.46,9.34,12.89,13.52,12.19,6.04,6.02,9.23,6.97,8.35,11.1,7.45,8.63,11.86,10.64,9.96,9.35,7.01,6.63,4.05,4.08,3.51,7.5,20.38,19.41,20.02,20.81,20.03,20.92,4.03,18.51,18.07,17.7,16.95,20.61,19.43,21.34,17.84,15.63,13.84,16.41,15.76,15.05,14.17,15.01,16.78,18.86,17.0,16.06
