日期,竹山,線西,沙鹿,埔里,西屯,大里,忠明,南投,豐原,二林,彰化,中山,古亭,淡水,士林,富貴角,桃園,菜寮,基隆,陽明,龍潭,大園,中壢,萬華,新莊,松山,三重,大同,觀音,萬里,土城,新店,永和,汐止,板橋,平鎮,林口,竹東,湖口,苗栗,新竹,三義,頭份,宜蘭,冬山,臺東,關山,花蓮,屏東,前鎮,橋頭,仁武,鳳山,小港,恆春,左營,潮州,美濃,林園,前金,復興,大寮,楠梓,新港,臺西,崙背,麥寮,嘉義,新營,朴子,安南,臺南,斗六,善化
2023-01-01,24.9,20.25,17.17,17.72,18.39,18.73,18.13,22.48,16.06,21.66,20.72,13.45,14.54,12.92,13.62,14.91,16.04,15.4,13.83,5.92,13.54,15.7,18.12,15.05,13.56,14.08,16.19,17.63,17.59,14.98,11.85,11.86,15.67,13.69,16.04,18.15,12.61,14.06,15.75,17.55,15.51,13.46,15.3,10.97,8.45,6.56,8.76,7.83,29.56,29.11,27.39,30.53,32.03,31.28,5.07,28.85,30.85,24.04,27.45,30.19,28.82,32.02,26.34,25.38,20.16,25.3,21.03,26.62,24.68,23.76,26.56,30.3,28.07,24.56
2023-02-01,23.17,22.81,18.67,15.02,18.84,18.46,19.5,20.42,15.89,24.27,22.24,13.34,14.91,10.85,12.88,13.32,16.22,15.53,12.84,3.95,15.12,14.43,18.5,15.9,14.02,13.01,16.44,18.03,16.46,13.92,14.49,12.87,16.15,12.37,16.47,14.97,12.19,14.06,15.0,18.38,16.85,12.48,16.58,8.18,6.37,4.94,4.01,5.83,30.59,29.13,29.73,30.7,29.79,30.72,4.3,27.94,27.73,24.23,27.54,29.37,28.87,30.99,28.75,28.32,21.63,28.09,22.48,29.6,27.56,27.79,29.34,29.7,27.05,26.37
2023-03-01,24.56,22.1,19.95,21.09,23.51,20.42,21.13,24.0,20.72,24.37,23.21,14.79,16.26,13.0,14.81,13.19,18.25,16.58,14.57,8.0,16.57,16.32,19.66,16.74,17.12,14.55,17.29,19.89,17.69,13.83,13.67,12.97,16.81,14.81,16.62,14.89,14.01,15.6,17.05,19.71,16.36,17.92,17.63,11.56,9.26,8.27,6.94,10.35,26.12,25.6,28.01,27.69,26.56,27.63,6.56,25.36,23.75,21.13,24.53,26.01,25.66,28.97,25.27,26.55,21.87,26.4,24.1,25.02,23.64,24.79,25.88,24.44,26.78,22.03
2023-04-01,26.05,24.92,22.99,18.64,25.66,21.31,21.97,24.3,22.41,27.55,24.55,18.26,19.31,16.48,17.81,17.0,19.99,20.19,17.07,8.77,19.19,19.18,22.91,19.99,19.19,16.61,20.76,21.7,20.79,16.44,18.31,15.16,19.68,16.93,19.74,18.01,17.31,16.76,19.92,22.86,19.51,19.11,19.92,13.37,12.31,8.88,8.39,12.96,23.09,21.91,25.21,23.81,24.29,24.03,7.21,22.5,19.61,19.92,19.07,22.51,21.33,24.76,21.86,28.54,22.85,28.9,24.62,27.1,24.81,25.39,24.65,23.65,29.05,21.71
2023-05-01,20.2,19.91,17.08,15.14,19.77,18.18,17.96,19.16,18.56,20.43,20.09,13.33,13.41,12.65,13.07,11.35,16.53,14.39,14.09,6.91,14.31,13.46,17.5,14.1,13.96,12.94,15.33,16.4,15.47,12.6,11.59,10.04,14.04,12.73,14.06,12.57,12.77,13.26,14.79,15.05,13.77,15.76,15.21,11.94,8.57,6.48,5.64,9.86,17.51,15.1,17.13,18.15,17.59,18.82,4.62,16.73,14.33,14.7,13.78,16.5,15.19,18.34,17.46,20.26,15.89,20.06,17.61,19.23,18.4,18.59,19.43,18.45,21.51,16.56
2023-06-01,6.28,13.0,9.01,5.74,10.17,8.9,9.94,8.39,11.37,11.1,11.81,9.6,11.31,8.08,11.09,7.25,13.29,10.81,9.97,6.36,9.62,8.96,11.38,10.35,10.48,8.85,11.95,15.32,10.3,10.26,8.19,7.45,11.52,9.69,10.44,8.37,9.36,8.31,9.46,7.37,7.84,10.25,9.4,9.71,5.62,5.14,4.53,6.84,7.96,6.36,7.83,8.33,8.73,10.55,3.62,7.65,8.01,6.6,6.13,8.03,6.18,7.59,8.5,11.17,8.11,10.82,8.01,6.38,8.0,8.9,8.81,7.03,7.99,7.65
2023-07-01,3.71,11.97,7.45,2.97,9.46,6.63,8.46,7.33,9.66,8.72,8.99,7.89,8.75,5.76,10.42,6.67,10.17,9.32,7.96,5.99,8.12,7.76,9.44,9.11,8.75,6.74,9.92,14.12,8.42,7.68,6.11,5.65,10.25,8.15,8.42,8.6,7.32,7.63,8.02,7.44,6.38,8.11,7.83,9.03,4.51,4.99,2.87,5.94,7.12,6.0,7.21,8.28,7.36,9.43,3.08,7.96,6.94,5.3,5.62,7.63,5.27,6.75,6.94,8.49,5.86,7.8,6.1,4.78,6.24,8.09,6.47,6.58,6.62,6.13
2023-08-01,7.85,12.01,8.27,6.63,10.53,7.5,9.43,8.72,9.59,8.38,10.0,9.54,9.46,7.67,10.66,8.77,10.12,9.97,9.14,6.38,7.9,8.32,10.36,10.29,10.69,7.54,11.8,13.14,9.7,8.65,9.07,7.91,10.95,11.86,9.22,8.88,9.55,7.6,8.6,7.92,8.35,7.86,7.24,9.58,5.29,5.42,3.22,6.72,10.26,8.06,8.7,9.51,7.21,10.53,4.06,10.73,7.92,6.35,7.52,10.37,7.72,9.54,8.09,8.79,7.08,8.61,7.46,6.52,7.2,9.33,8.42,8.71,7.81,7.49
2023-09-01,15.67,12.52,11.38,13.19,15.33,12.86,13.56,13.67,14.23,14.2,15.84,9.09,10.2,7.6,8.49,7.38,10.02,8.97,7.3,5.2,9.73,8.92,11.82,9.68,12.25,6.4,10.09,13.15,11.5,7.57,9.87,7.93,12.35,10.28,11.66,9.94,9.45,11.4,12.0,10.49,10.53,12.29,9.48,7.78,4.3,4.94,2.75,5.47,12.82,8.8,10.48,10.55,9.64,10.13,2.3,11.91,8.9,7.92,7.58,11.85,8.9,10.93,9.49,12.17,10.02,13.74,11.76,13.0,9.13,11.63,11.88,11.28,12.36,9.41
2023-10-01,23.44,10.84,13.38,17.3,18.15,16.28,16.69,18.13,15.97,18.2,18.01,11.37,12.33,9.38,10.57,10.63,11.09,8.76,9.93,5.42,9.87,9.59,12.53,11.53,12.97,10.77,10.68,14.98,13.88,10.31,13.52,9.79,13.59,10.71,12.39,9.69,9.33,11.9,14.08,11.28,11.55,12.13,10.78,9.94,6.92,6.17,4.15,7.89,19.91,18.36,21.05,17.78,18.14,19.72,5.49,22.33,17.0,15.47,18.77,18.77,19.2,19.89,17.82,19.5,13.9,18.68,15.44,22.83,18.21,17.98,20.81,22.53,20.41,20.06
