日期,竹山,線西,沙鹿,埔里,西屯,大里,忠明,南投,豐原,二林,彰化,中山,古亭,淡水,士林,富貴角,桃園,菜寮,基隆,陽明,龍潭,大園,中壢,萬華,新莊,松山,三重,大同,觀音,萬里,土城,新店,永和,汐止,板橋,平鎮,林口,竹東,湖口,苗栗,新竹,三義,頭份,宜蘭,冬山,臺東,關山,花蓮,屏東,前鎮,橋頭,仁武,鳳山,小港,恆春,左營,潮州,美濃,林園,前金,復興,大寮,楠梓,新港,臺西,崙背,麥寮,嘉義,新營,朴子,安南,臺南,斗六,善化
2019-01-01,30.21,24.58,20.19,20.97,21.58,17.79,21.83,24.36,19.17,24.41,24.63,15.44,15.19,12.57,13.51,15.46,15.97,13.94,12.38,7.33,17.25,15.88,17.57,13.66,13.93,14.74,14.6,14.37,24.13,13.48,17.95,13.36,15.2,12.98,17.38,17.24,11.7,17.49,16.58,23.44,23.4,16.69,18.3,10.33,8.22,8.81,9.08,7.01,40.39,41.5,42.53,41.69,42.07,40.2,7.13,35.09,39.02,28.21,41.23,43.07,42.66,42.71,46.37,33.08,25.58,34.98,25.5,37.18,36.36,30.68,34.56,36.99,33.27,37.24
2019-02-01,32.18,24.44,20.93,24.04,23.01,18.65,23.63,27.59,22.13,24.08,23.34,14.95,14.92,12.41,13.3,15.14,17.0,14.84,11.89,5.73,18.83,16.37,18.58,13.67,13.55,13.95,13.52,14.01,19.69,12.63,17.49,13.01,15.6,12.12,16.61,18.77,12.74,20.11,17.45,24.46,22.62,18.73,18.02,10.76,8.35,6.33,8.53,8.45,28.33,26.85,33.24,30.46,29.92,27.83,7.41,28.7,26.94,19.38,27.64,33.22,31.35,29.37,35.16,31.11,27.49,35.54,24.54,32.98,28.99,25.83,26.97,28.72,33.62,30.17
2019-03-01,34.62,25.79,21.12,24.79,25.03,20.98,25.17,27.59,23.24,25.46,26.78,18.95,22.12,15.78,18.32,19.04,20.09,21.19,15.98,10.61,21.42,18.88,24.93,17.17,17.49,18.96,18.65,17.77,21.55,16.51,21.49,16.9,19.16,18.36,19.81,20.52,14.64,17.47,19.08,24.38,22.29,22.68,20.95,15.6,12.51,10.27,11.17,12.05,28.64,26.03,34.18,29.29,27.94,24.55,10.6,29.38,25.45,19.49,27.14,32.71,28.9,31.09,30.58,29.79,28.07,32.38,23.79,30.29,26.57,25.63,27.58,28.08,33.7,26.96
2019-04-01,25.98,21.48,15.33,20.83,24.44,18.34,20.87,25.25,23.64,22.62,23.31,20.55,23.48,16.08,18.18,16.31,21.38,22.31,15.14,11.33,21.52,18.63,24.16,18.82,17.8,20.23,18.56,19.46,15.71,15.9,22.57,15.92,20.25,19.5,18.78,20.65,16.24,16.74,19.72,24.14,16.4,21.21,14.44,12.1,12.54,10.97,10.86,8.5,24.69,18.95,29.45,25.56,23.02,19.67,11.68,20.56,24.21,15.71,21.59,22.69,17.63,28.45,26.72,26.42,23.42,25.03,19.01,23.32,19.49,21.89,24.02,24.88,27.09,23.91
2019-05-01,18.95,19.1,12.4,14.01,20.05,15.2,19.71,16.5,17.79,21.75,20.38,14.88,16.08,11.62,14.77,13.21,15.14,11.28,12.28,9.41,15.21,15.64,21.94,12.95,12.51,14.52,13.37,14.98,14.85,10.59,14.06,9.96,12.62,12.98,12.5,15.93,9.74,9.55,18.32,22.23,15.19,14.78,13.6,12.61,9.48,9.39,9.48,8.61,18.19,24.37,23.11,20.17,18.98,15.59,9.83,16.61,18.06,9.21,17.4,14.37,20.62,21.76,20.42,23.04,20.89,19.61,17.96,20.07,17.83,18.36,21.75,20.63,22.69,20.23
2019-06-01,5.55,9.35,4.48,9.56,10.68,9.62,11.74,6.3,12.34,13.26,10.47,12.68,11.13,7.94,12.05,8.97,13.29,9.16,10.22,7.18,10.99,11.55,16.92,10.91,11.95,12.94,11.78,13.31,11.01,8.37,12.62,10.76,13.91,11.43,14.37,12.6,6.28,9.3,10.96,11.32,7.3,5.45,10.09,10.86,10.71,6.14,9.24,7.67,10.49,3.32,10.18,8.09,10.65,6.06,7.5,6.62,10.3,6.38,7.69,5.66,8.12,10.66,8.89,12.15,10.34,7.29,6.71,6.91,12.0,9.11,11.01,8.35,10.74,7.16
2019-07-01,8.59,10.24,4.42,11.54,11.07,10.22,13.81,10.68,14.9,13.91,11.87,11.8,9.61,9.21,12.24,7.73,11.93,9.43,9.42,7.95,12.3,11.11,19.25,10.7,11.11,11.66,11.05,13.25,9.32,10.84,11.34,9.55,7.27,12.41,13.73,12.55,6.44,9.06,10.37,12.5,9.53,9.41,6.03,9.84,11.48,7.0,7.38,7.19,9.83,7.68,9.67,9.43,7.42,7.81,7.09,6.5,12.05,9.08,10.85,8.56,8.07,11.76,11.66,12.27,9.94,9.89,7.19,8.85,10.88,8.6,14.81,9.35,12.57,8.09
2019-08-01,13.81,13.1,12.02,14.23,13.44,12.65,15.76,13.62,16.14,14.84,14.05,11.29,8.94,12.26,10.2,9.94,12.74,8.43,9.07,6.62,12.21,12.22,15.64,9.04,8.51,10.37,9.58,12.18,12.82,10.8,9.17,8.28,10.37,11.46,11.28,12.79,7.01,10.55,12.28,15.21,10.63,11.84,9.21,10.07,10.18,7.0,5.69,7.0,11.78,10.76,13.03,12.42,10.63,9.74,6.58,8.56,12.2,9.58,13.46,11.31,9.73,13.4,12.24,14.61,11.45,12.91,14.46,11.15,12.95,11.09,15.81,10.88,14.3,9.64
2019-09-01,22.18,16.12,15.48,19.96,15.48,15.44,17.39,19.27,16.57,18.4,16.64,10.73,8.75,10.95,9.15,12.57,12.77,9.27,7.55,6.09,11.76,12.1,12.89,8.94,10.61,10.39,11.17,12.74,14.68,10.47,11.19,10.13,9.2,11.25,11.26,13.32,8.64,10.85,12.64,19.03,13.46,14.81,14.03,7.06,8.41,5.66,8.07,5.43,20.72,19.07,19.91,22.15,17.62,16.36,9.14,16.98,20.09,18.72,21.42,19.08,19.39,21.43,22.47,20.28,16.68,17.79,16.75,18.62,18.66,16.91,22.31,19.92,19.41,20.21
2019-10-01,28.13,22.67,23.73,23.64,23.46,24.42,25.2,25.67,22.23,26.16,23.69,16.04,14.77,15.67,12.82,16.7,17.35,16.05,14.99,10.1,17.25,18.62,17.23,16.05,19.04,17.22,19.95,19.37,19.46,16.77,14.72,14.02,13.11,15.19,16.27,18.65,17.03,15.27,19.1,20.57,18.27,20.17,19.17,11.56,12.68,11.71,11.34,13.29,26.34,25.61,28.83,30.02,25.4,26.69,13.07,27.65,26.73,25.27,27.01,28.43,27.91,28.9,27.42,25.43,25.36,23.86,25.02,25.92,26.89,24.92,28.53,28.06,27.61,27.69
