日期,竹山,線西,沙鹿,埔里,西屯,大里,忠明,南投,豐原,二林,彰化,中山,古亭,淡水,士林,富貴角,桃園,菜寮,基隆,陽明,龍潭,大園,中壢,萬華,新莊,松山,三重,大同,觀音,萬里,土城,新店,永和,汐止,板橋,平鎮,林口,竹東,湖口,苗栗,新竹,三義,頭份,宜蘭,冬山,臺東,關山,花蓮,屏東,前鎮,橋頭,仁武,鳳山,小港,恆春,左營,潮州,美濃,林園,前金,復興,大寮,楠梓,新港,臺西,崙背,麥寮,嘉義,新營,朴子,安南,臺南,斗六,善化
2021-01-01,30.06,22.22,18.39,21.91,24.83,25.77,24.34,26.36,20.58,25.73,24.95,14.41,13.93,13.81,13.75,15.61,15.76,14.39,12.39,9.1,15.79,17.49,19.69,14.04,16.05,14.65,17.24,18.14,17.8,14.47,14.21,11.48,14.87,14.07,14.34,18.31,14.61,13.93,17.64,18.34,17.23,16.51,19.02,11.52,11.67,9.49,8.79,9.7,35.6,38.87,38.03,36.82,36.14,36.9,8.87,35.08,36.56,28.25,37.38,39.36,38.77,40.77,35.31,29.25,21.15,28.79,23.45,36.8,30.84,27.03,34.3,36.58,33.35,33.86
2021-02-01,35.11,31.06,26.34,26.16,32.04,32.53,29.87,31.63,26.97,35.76,32.82,20.37,18.24,18.6,18.92,19.2,23.53,20.81,16.25,11.4,21.05,25.11,26.31,19.55,21.32,20.14,23.45,21.99,24.66,17.68,20.54,15.67,20.82,17.9,20.77,24.55,19.61,20.11,25.09,23.58,23.85,21.16,25.53,12.41,12.28,9.61,8.48,10.6,32.57,36.06,37.21,36.31,35.75,34.89,9.44,33.2,31.6,26.83,35.06,37.63,35.44,38.19,34.71,37.89,29.62,37.27,31.78,40.28,35.58,36.94,39.07,41.46,40.84,35.46
2021-03-01,34.57,29.19,22.45,25.24,29.72,29.81,25.16,29.74,25.65,32.71,28.65,22.11,20.31,18.41,19.82,19.71,25.12,21.82,18.07,10.9,22.28,24.55,26.18,21.01,21.7,21.85,24.08,23.73,22.21,17.38,20.6,18.68,22.57,20.02,22.21,24.85,20.3,21.23,24.31,23.68,22.68,20.29,25.62,12.6,14.0,9.32,9.14,11.04,32.24,34.47,36.85,36.75,34.07,34.13,8.39,32.35,30.99,27.84,33.42,35.96,33.86,38.15,35.56,32.83,24.12,32.87,27.12,39.58,33.19,31.4,34.55,36.71,36.41,31.17
2021-04-01,29.37,19.82,15.75,24.04,22.84,20.68,20.23,24.73,22.34,22.42,21.51,16.02,14.59,13.85,14.08,15.75,16.07,15.79,13.26,8.92,15.79,17.1,17.8,15.36,15.15,16.43,17.63,17.84,15.15,14.03,14.04,13.7,15.46,14.68,14.49,16.32,15.5,15.5,16.1,17.3,14.3,18.59,17.81,10.55,11.86,9.7,8.5,10.35,22.84,26.85,25.15,26.64,25.16,23.78,8.85,23.19,20.35,22.01,23.95,25.1,24.25,27.9,26.1,24.17,18.44,23.05,20.82,28.07,23.41,22.1,25.05,23.6,28.12,22.98
2021-05-01,14.46,12.9,9.22,12.78,15.05,11.92,13.06,13.96,15.74,12.63,14.02,16.44,14.09,12.38,14.52,11.6,14.7,14.91,12.66,10.14,13.94,14.86,15.65,14.84,15.27,16.87,16.07,16.86,11.64,12.47,15.73,13.38,15.42,15.57,13.62,13.88,14.33,12.49,11.91,11.84,10.89,12.93,12.74,9.6,9.93,7.04,6.12,7.28,10.6,12.62,11.31,12.01,9.76,12.01,4.89,8.82,9.96,10.95,11.07,10.97,11.45,14.82,13.0,11.89,10.7,12.9,11.59,12.79,11.94,12.8,12.67,10.82,13.03,10.13
2021-06-01,7.21,6.37,5.23,5.72,7.77,6.59,7.24,6.38,7.13,6.96,6.61,9.56,8.69,8.0,8.0,7.41,9.24,8.19,8.06,5.51,7.47,9.87,8.67,8.64,9.65,8.37,9.87,10.02,7.89,7.79,9.04,6.49,8.75,8.46,7.61,9.54,8.59,6.42,7.71,6.11,6.17,6.34,6.98,6.75,7.98,5.39,4.91,5.82,6.1,8.03,6.6,7.72,6.63,8.73,3.85,6.35,5.36,5.43,9.0,5.54,7.88,10.38,7.43,6.72,7.45,8.45,7.0,6.25,8.04,7.63,8.46,6.64,6.31,6.23
2021-07-01,9.52,8.93,7.53,8.8,10.19,10.02,10.05,9.58,10.03,10.68,8.2,9.52,8.52,7.92,9.0,9.07,10.12,10.17,9.6,6.58,9.0,9.36,9.93,9.62,10.76,9.18,10.53,11.42,8.33,9.18,7.95,7.85,9.33,9.27,8.48,10.86,8.24,8.67,9.85,7.98,9.26,7.88,8.56,6.98,6.36,4.51,4.45,6.61,8.17,7.98,8.8,8.98,9.56,9.67,4.22,9.23,7.79,7.84,11.76,6.68,8.91,10.38,7.23,9.32,8.95,11.2,9.52,6.96,9.39,9.63,7.77,7.43,9.4,7.13
2021-08-01,9.21,8.82,5.94,8.6,10.69,10.61,9.8,10.49,9.4,10.42,9.1,10.46,9.46,8.48,9.65,6.88,12.08,11.22,10.16,7.32,10.08,9.86,12.11,9.89,11.87,10.12,12.06,13.01,9.48,7.97,8.31,8.23,10.77,9.94,9.58,12.41,9.51,9.38,11.1,7.89,11.38,8.25,8.68,7.72,7.6,5.21,4.15,6.19,9.8,8.85,9.68,9.84,10.42,11.59,5.11,9.84,7.72,7.42,12.69,8.95,10.22,10.99,7.65,8.72,9.21,11.29,9.1,6.86,10.13,10.22,8.79,7.74,8.91,7.18
2021-09-01,16.39,14.88,14.41,14.97,16.52,17.12,15.48,17.38,15.82,17.84,14.79,10.17,9.06,8.38,9.15,7.85,12.52,10.79,9.67,8.61,11.29,10.67,13.19,9.7,11.22,9.38,11.74,13.28,11.55,8.1,8.55,7.82,10.63,9.22,9.27,12.77,10.13,12.15,13.82,13.26,14.2,14.33,13.48,8.13,7.68,5.6,4.22,5.95,15.38,12.18,14.88,14.22,17.47,14.82,4.37,13.95,14.57,12.62,16.28,13.84,13.49,17.74,13.06,16.47,14.45,18.49,14.96,16.01,16.14,14.32,13.45,13.34,16.25,12.46
2021-10-01,20.31,16.62,15.53,17.44,17.42,19.0,16.94,19.82,16.65,19.23,16.1,8.22,7.81,6.26,7.37,6.83,8.33,8.79,8.7,5.24,7.23,6.71,8.61,8.28,8.12,8.06,10.33,13.04,9.45,7.7,6.77,6.61,8.28,7.54,8.7,8.67,6.84,10.41,10.39,14.19,11.77,14.98,13.39,7.18,6.13,5.98,4.38,6.0,19.37,17.33,19.7,19.47,22.73,19.91,5.84,19.16,16.81,16.79,22.21,19.1,18.98,21.48,17.52,18.17,15.47,20.28,17.28,18.68,16.61,14.49,15.85,16.66,19.06,15.37
